@relation tweet-weka.filters.unsupervised.attribute.Remove-R10

@attribute user {true,false}
@attribute word {true,false}
@attribute hashtag {true,false}
@attribute smiley {true,false}
@attribute argoInternet {true,false}
@attribute ponctuation {absent,regulier,surnombre}
@attribute retweet {true,false}
@attribute nbRetweet numeric
@attribute longeur numeric
@attribute tweetDrole {true,false}

@data
false,false,false,false,false,absent,false,5,70,false
false,false,false,false,false,absent,true,9,138,false
false,false,false,false,false,absent,true,11,95,false
false,false,false,false,false,absent,true,19,115,false
false,false,false,false,false,absent,false,71,99,false
false,false,false,false,false,absent,false,11,67,false
false,false,false,false,false,absent,false,86,83,false
false,false,false,false,false,absent,false,30,76,false
false,false,false,false,false,absent,true,38,129,false
false,false,false,false,false,absent,false,41,64,false
false,false,false,false,false,absent,false,43,89,false
false,false,false,false,false,absent,false,18,72,false
false,false,false,false,false,absent,false,56,75,false
false,false,false,false,false,absent,false,12,97,false
false,false,false,false,false,absent,true,18,121,false
false,false,false,false,false,absent,false,18,77,false
false,false,false,false,false,absent,true,12,133,false
false,false,false,false,false,absent,false,40,59,false
false,false,false,false,false,absent,false,57,89,false
false,false,false,false,false,absent,false,26,93,false
false,false,false,false,false,absent,false,19,55,false
false,false,false,false,false,absent,true,31,113,false
false,false,false,false,false,absent,false,48,89,false
false,false,false,false,false,absent,false,84,115,false
false,false,false,false,false,absent,false,44,70,false
false,false,false,false,false,absent,false,112,65,false
false,false,false,false,false,absent,true,23,140,false
false,false,false,false,false,absent,false,43,86,false
false,false,false,false,false,absent,false,11,64,false
false,false,false,false,false,absent,false,30,86,false
false,false,false,false,false,absent,false,12,76,false
false,false,false,false,false,absent,false,49,96,false
false,false,false,false,false,absent,false,25,85,false
false,false,false,false,false,absent,false,29,53,false
false,false,false,false,false,absent,false,50,79,false
false,false,false,false,false,absent,false,26,68,false
false,false,false,false,false,absent,false,53,103,false
false,false,false,false,false,absent,false,18,87,false
false,false,false,false,false,surnombre,false,67,71,false
false,false,false,false,false,absent,false,19,73,false
false,false,false,false,false,absent,false,85,72,false
false,false,false,false,false,absent,false,30,77,false
false,false,false,false,false,absent,false,26,96,false
false,false,false,false,false,absent,false,74,81,false
false,false,false,false,false,absent,false,36,87,false
false,false,false,false,false,absent,false,36,118,false
false,false,false,false,false,absent,false,76,109,false
false,false,false,false,false,absent,false,18,94,false
false,false,false,false,false,absent,false,88,60,false
false,false,false,false,false,absent,false,42,80,false
false,false,false,false,false,absent,false,26,96,false
false,false,false,false,false,absent,false,10,81,false
false,false,false,false,false,absent,false,8,88,false
false,false,false,false,false,absent,false,170,72,false
false,false,false,false,false,absent,false,28,76,false
false,false,false,false,false,absent,false,62,87,false
false,false,false,false,false,absent,false,4,67,false
false,false,false,false,false,absent,false,3,61,false
false,false,false,false,false,absent,false,5,80,false
false,false,false,false,false,absent,true,4,107,false
false,false,false,false,false,absent,true,11,100,false
false,false,false,false,false,absent,true,2,98,false
false,false,false,false,false,absent,true,5,91,false
false,false,false,false,false,absent,true,3,114,false
false,false,false,false,false,absent,true,4,104,false
false,false,false,false,false,absent,false,10,91,false
false,false,false,false,false,absent,false,3,95,false
false,false,false,false,false,absent,false,7,78,false
false,false,false,false,false,absent,false,8,76,false
false,false,false,false,false,absent,false,5,93,false
false,false,false,false,false,absent,false,2,70,false
false,false,false,false,false,absent,false,5,95,false
false,false,false,false,false,absent,false,4,95,false
false,false,false,false,false,absent,false,9,100,false
false,false,false,false,false,absent,false,21,95,false
false,false,false,false,false,absent,false,21,76,false
false,false,false,false,false,absent,false,29,90,false
false,false,false,false,false,absent,false,6,69,false
false,false,false,false,false,absent,false,8,58,false
false,false,false,false,false,absent,false,17,82,false
false,false,false,false,false,absent,false,8,73,false
false,false,false,false,false,absent,false,9,74,false
false,false,false,false,false,absent,false,27,70,false
false,false,false,false,false,absent,false,30,90,false
false,false,false,false,false,absent,false,11,68,false
false,false,false,false,false,absent,false,14,89,false
false,false,false,false,false,absent,false,37,84,false
false,false,false,false,false,absent,false,8,73,false
false,false,false,false,false,absent,false,12,101,false
false,false,false,false,false,absent,false,5,82,false
false,false,false,false,false,absent,false,3,77,false
false,false,false,false,false,absent,false,21,78,false
false,false,false,false,false,absent,false,13,84,false
false,false,false,false,false,absent,false,5,111,false
false,false,false,false,false,absent,false,9,102,false
false,false,false,false,false,absent,false,9,89,false
false,false,false,false,false,absent,false,11,91,false
false,false,false,false,false,absent,false,7,88,false
false,false,false,false,false,absent,false,6,93,false
false,false,false,false,false,absent,false,19,96,false
false,false,false,false,false,absent,false,49,65,false
false,false,false,false,false,absent,false,24,103,false
false,false,false,false,false,absent,false,15,84,false
